Field Id,Organization,City,State,Latitude,Longitude,Prod Year,Seed Class,Variety,Area,Area Unit,Location,Organization Modified,Variety Modified
21077295,FJDP Makurdi,Aliade,Benue,7.26864,8.45712,2017,Certified Seed,TMEB419,0.6,Ha,"7.26864,8.45712",FJDP,TMEB419
21078020,Kejie Health Foundation,Vandeikya,Benue,6.91583,9.16003,2017,Certified Seed,TMEB419,1.0,Ha,"6.91583,9.16003",Kejie,TMEB419
21078179,FJDP Makurdi,Aliade,Benue,7.29321,8.39157,2017,Certified Seed,TMEB419,1.0,Ha,"7.29321,8.39157",FJDP,TMEB419
21078620,Kejie Health Foundation,Vandeikya,Benue,6.80802,9.08368,2017,Certified Seed,TMEB419,1.0,Ha,"6.80802,9.08368",Kejie,TMEB419
21078843,FJDP Makurdi,Aliade,Benue,7.34675,8.51261,2017,Certified Seed,TMS-IBA011368,1.0,Ha,"7.34675,8.51261",FJDP,Others
BEN2150-2017,FJDP Makurdi,Naka,Benue,7.59807,8.28044,2017,Certified Seed,Dixon,0.4,Ha,"7.59807,8.28044",FJDP,Dixon
Ben1478-2017,FJDP Makurdi,Aliade,Benue,7.26864,8.45712,2017,Certified Seed,Fineface,0.6,Ha,"7.26864,8.45712",FJDP,Fineface
21079736,FJDP Makurdi,Aliade,Benue,7.26864,8.45712,2017,Certified Seed,TMS-IBA30572,0.4,Ha,"7.26864,8.45712",FJDP,Others
21079780,FJDP Makurdi,Naka,Benue,7.59807,8.28044,2017,Certified Seed,TMEB419,0.4,Ha,"7.59807,8.28044",FJDP,TMEB419
21079870,FJDP Makurdi,Daudu,Benue,7.88966,8.59019,2017,Certified Seed,TMS-IBA011368,1.0,Ha,"7.88966,8.59019",FJDP,Others
21079925,FJDP Makurdi,Makurdi,Benue,7.70432,8.6868,2017,Certified Seed,TMEB419,1.0,Ha,"7.70432,8.6868",FJDP,TMEB419
21080088,FJDP Makurdi,Daudu,Benue,7.83642,8.70649,2017,Certified Seed,TMEB419,0.6,Ha,"7.83642,8.70649",FJDP,TMEB419
21080149,FJDP Makurdi,Makurdi,Benue,7.76025,8.69368,2017,Certified Seed,TMEB419,1.0,Ha,"7.76025,8.69368",FJDP,TMEB419
21080232,FJDP Makurdi,Daudu,Benue,7.98984,8.7422,2017,Certified Seed,TMEB419,0.7,Ha,"7.98984,8.7422",FJDP,TMEB419
21080399,FJDP Makurdi,Makurdi,Benue,7.7059,8.6879,2017,Certified Seed,TMS-IBA30572,0.41,Ha,"7.7059,8.6879",FJDP,Others
21080410,FJDP Makurdi,Daudu,Benue,7.98984,8.7422,2017,Certified Seed,TMS-IBA011368,0.3,Ha,"7.98984,8.7422",FJDP,Others
21080548,FJDP Makurdi,Abinsi,Benue,7.7386,8.76003,2017,Certified Seed,TMS-IBA011368,1.0,Ha,"7.7386,8.76003",FJDP,Others
21080700,FJDP Makurdi,Abinsi,Benue,7.738,8.7613,2017,Certified Seed,TMS-IBA011368,0.7,Ha,"7.738,8.7613",FJDP,Others
21080707,FJDP Makurdi,Makurdi,Benue,7.63422,8.59076,2017,Certified Seed,TMS-IBA011368,0.3,Ha,"7.63422,8.59076",FJDP,Others
21080743,FJDP Makurdi,Makurdi,Benue,7.6321,8.59154,2017,Certified Seed,TMEB419,0.3,Ha,"7.6321,8.59154",FJDP,TMEB419
Ben1647-2017,Caritas Gboko,Agbeede,Benue,7.16472,9.04972,2017,Certified Seed,Dixon,1.0,Ha,"7.16472,9.04972",Caritas,Dixon
21080903,FJDP Makurdi,Makurdi,Benue,7.70849,8.61679,2017,Certified Seed,TMS-IBA011368,0.7,Ha,"7.70849,8.61679",FJDP,Others
Ben2099-2017,Caritas Gboko,Gboko,Benue,7.53944,9.07889,2017,Certified Seed,Dixon,1.0,Ha,"7.53944,9.07889",Caritas,Dixon
Ben2437-2017,FJDP Makurdi,Makurdi,Benue,7.69071,8.44038,2017,Certified Seed,TMS-IBA011368,0.6,Ha,"7.69071,8.44038",FJDP,Others
21105569,Caritas Gboko,Gboko,Benue,7.2375,8.95778,2017,Certified Seed,TMEB419,1.0,Ha,"7.2375,8.95778",Caritas,TMEB419
Ben1193-2017,Caritas Gboko,Gboko,Benue,7.33028,8.94306,2017,Certified Seed,Dixon,1.0,Ha,"7.33028,8.94306",Caritas,Dixon
21106919,FJDP Makurdi,Apir,Benue,7.64318,8.58611,2017,Certified Seed,TMEB419,0.4,Ha,"7.64318,8.58611",FJDP,TMEB419
21107146,FJDP Makurdi,Apir,Benue,7.63406,8.59019,2017,Certified Seed,TMEB419,0.2,Ha,"7.63406,8.59019",FJDP,TMEB419
21107383,FJDP Makurdi,Naka,Benue,7.45166,8.16757,2017,Certified Seed,TMEB419,0.8,Ha,"7.45166,8.16757",FJDP,TMEB419
21107421,Caritas Gboko,Buruku,Benue,7.65667,9.28361,2017,Certified Seed,TMS-IBA011368,1.0,Ha,"7.65667,9.28361",Caritas,Others
21107671,Caritas Gboko,Lessel,Benue,7.21278,9.25083,2017,Certified Seed,TMS-IBA011368,1.0,Ha,"7.21278,9.25083",Caritas,Others
21107865,FJDP Makurdi,Naka,Benue,7.43571,8.20757,2017,Certified Seed,TMEB419,0.9,Ha,"7.43571,8.20757",FJDP,TMEB419
Ben2331-2017,Caritas Gboko,Ugba,Benue,7.56778,9.57417,2017,Certified Seed,Fineface,1.0,Ha,"7.56778,9.57417",Caritas,Fineface
21108030,FJDP Makurdi,Naka,Benue,7.43736,8.20567,2017,Certified Seed,TMS-IBA011368,0.3,Ha,"7.43736,8.20567",FJDP,Others
21108076,Caritas Gboko,Lessel,Benue,7.23278,9.27278,2017,Certified Seed,TMS-IBA011368,1.0,Ha,"7.23278,9.27278",Caritas,Others
21108154,FJDP Makurdi,Naka,Benue,7.4966,8.20838,2017,Certified Seed,TMEB419,0.8,Ha,"7.4966,8.20838",FJDP,TMEB419
21108279,Caritas Gboko,Gungul,Benue,7.40861,8.94167,2017,Certified Seed,TMS-IBA011368,1.0,Ha,"7.40861,8.94167",Caritas,Others
